# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-03-26
# NFiles = 212, max geo IngestTime = 2024-03-26 19:56:50.101946
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024086.0220.061.2024086034820.NRT.hdf,2024-03-26 02:20,61,116503,N,180,-67.5000242322541,-89.9898773979551,-180,-61.3021059165361,10.5111002429268,153.732995503957,-112.402434493421,-67.4965916205933,-77.789545119608,-83.1229407704544,-69.6931430017718
MYD03.A2024086.0225.061.2024086034448.NRT.hdf,2024-03-26 02:25,61,116503,B,-112.527189584873,-59.3954129435174,-84.0537601207522,151.896855574807,-112.525195949604,149.066806154962,166.004740617334,-147.717343011754,-70.064560198102,-83.4630345389992,-65.6536307307668,-59.1276359721199
MYD03.A2024086.0230.061.2024086033828.NRT.hdf,2024-03-26 02:30,61,116503,D,-148.340596477283,-43.893225690278,-66.1927630138772,165.755227851382,-148.339100556516,165.355924496749,165.759295475062,-163.538661892012,-59.4574317866772,-66.146509670426,-47.9068098815633,-43.7191892201694
MYD03.A2024086.0235.061.2024086033740.NRT.hdf,2024-03-26 02:35,61,116503,D,-164.10308359617,-26.9412944559031,-48.3415817379633,163.850228463204,-164.100330604951,165.564059162874,163.829171753974,-172.110876431324,-43.9640927596232,-48.3591165536495,-30.1081649466068,-26.8374951782029
MYD03.A2024086.0240.061.2024086033735.NRT.hdf,2024-03-26 02:40,61,116504,D,-172.549555967683,-9.39058782226047,-30.4384006274174,161.069005616428,-172.544815825341,163.782063712469,161.046969868206,-177.742262894229,-27.0116581612251,-30.4607760799184,-12.294925486027,-9.33942611768532
MYD03.A2024086.0245.061.2024086033756.NRT.hdf,2024-03-26 02:45,61,116504,D,-178.02504633417,8.44276680847426,-12.4989348035273,157.412940645879,-178.019002877277,161.073424213872,157.407130704406,178.103280536435,-9.46291849965002,-12.5183394081711,5.45491138784059,8.46087440239129
MYD03.A2024086.0250.061.2024086033838.NRT.hdf,2024-03-26 02:50,61,116504,D,177.980534480605,26.3983672215189,5.38479161694234,152.442466832241,178.048405092318,157.421302553306,152.378616608462,174.886411161339,8.3801304604597,5.36704413999894,23.1218693032635,26.5352746306193
MYD03.A2024086.0255.061.2024086033805.NRT.hdf,2024-03-26 02:55,61,116504,D,174.913401756807,44.3651618173208,23.0664542275449,144.987147698086,175.165885833846,152.462733376321,144.829022880777,172.597555759158,26.3411335107445,23.0518889988958,40.3063344191778,44.6244780176295
MYD03.A2024086.0300.061.2024086033803.NRT.hdf,2024-03-26 03:00,61,116504,D,172.636493861188,62.3828712143195,40.2846126977709,131.56203309185,173.095439698154,145.017761149069,131.214416721679,171.579614654886,44.3008707565554,40.2745113902909,56.398659965994,62.7292305545268
MYD03.A2024086.0305.061.2024086050500.NRT.hdf,2024-03-26 03:05,61,116504,D,177.360280358401,80.3260141538472,56.4639007648055,101.278602645616,172.458553686101,131.624414101628,100.915045473097,177.692303801563,62.2801074003836,56.4591424884324,68.6633012284529,80.5305247100168
MYD03.A2024086.0310.061.2024086051743.NRT.hdf,2024-03-26 03:10,61,116504,B,180,89.9922965706126,68.8925043643326,-180,179.294236154921,101.457813801413,48.6753146865537,-32.3208778845796,79.9576976506407,68.8917948703475,69.1672351120695,81.0386850976758
MYD03.A2024086.0315.061.2024086051411.NRT.hdf,2024-03-26 03:15,61,116504,N,48.4155227868591,81.7797304576928,57.6258488913008,-33.3190200017688,-35.4906330650413,48.4175661926157,16.6190158583531,-25.6128514527497,81.4449367468851,69.5303517923682,57.3936493215983,63.3417854448924
