# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-04-09
# NFiles = 211, max geo IngestTime = 2024-04-09 18:28:44.484318
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024100.0545.061.2024100064708.NRT.hdf,2024-04-09 05:45,61,116709,D,139.600684908465,-2.7210276227687,-23.7057962492969,114.259906760454,139.607370735236,117.30837750247,114.242086221353,135.011913554767,-20.4743013902253,-23.728752067226,-5.62280690491025,-2.68633265770968
MYD03.A2024100.0550.061.2024100064706.NRT.hdf,2024-04-09 05:50,61,116709,D,134.796241382325,15.1721602069253,-5.77620655555339,110.187594690432,134.802605296147,114.269113663677,110.165574138091,131.232285022464,-2.79345700160467,-5.79507185235744,12.1185778662871,15.2315584916575
MYD03.A2024100.0555.061.2024100064709.NRT.hdf,2024-04-09 05:55,61,116709,D,131.189654676205,33.1412079408608,12.0520698521099,104.500435558133,131.326691161,110.198504174064,104.394485606683,128.3824254863,15.1149797545207,12.0351783610782,29.6446717795003,33.3256752866081
MYD03.A2024100.0600.061.2024100064702.NRT.hdf,2024-04-09 06:00,61,116710,D,128.416238979326,51.0922801238891,29.6018796474645,95.4813427521347,128.734592310227,104.522967991886,95.247224000729,126.449214363574,33.0816241978881,29.5898199120816,46.5186242148873,51.3930304487548
MYD03.A2024100.0605.061.2024100081530.NRT.hdf,2024-04-09 06:05,61,116710,D,126.559077464772,69.0213259561133,46.5261140774365,77.7450520439548,127.065973264811,95.5181737230511,77.4033271517194,126.539869967193,51.0207328341381,46.5200465937251,61.6679563406177,69.3598755054501
MYD03.A2024100.0610.061.2024100082414.NRT.hdf,2024-04-09 06:10,61,116710,D,154.262702088226,86.9615246661697,61.7582608124783,36.9012347647152,127.612931229679,77.8508653664112,36.7574572579256,158.104424318935,68.865189478139,61.7548223858012,70.7068442630643,86.6099521212748
MYD03.A2024100.0615.061.2024100082758.NRT.hdf,2024-04-09 06:15,61,116710,B,180,89.9932355859455,65.9922330167987,-180,157.698364136198,37.1182987032938,-12.0035600606401,-72.9255323112802,85.9735322777069,71.020310857996,65.6864982146226,74.5379341874952
MYD03.A2024100.0620.061.2024100082326.NRT.hdf,2024-04-09 06:20,61,116710,N,-12.499771401831,75.1454940553805,51.967899567339,-73.2616682379673,-74.4022445214174,-12.4978981419358,-35.4146809626087,-71.2348261856992,75.0078472890643,66.0408052384202,51.7743930313877,56.751934898272
MYD03.A2024100.0625.061.2024100082030.NRT.hdf,2024-04-09 06:25,61,116710,N,-35.9644028464763,57.2136810025919,35.4345180474933,-72.7592644618269,-71.723222217573,-35.9625466789115,-46.5923703326293,-72.7724059062327,57.2226026066477,52.0310924967386,35.3209627186969,38.9033607304491
MYD03.A2024100.0630.061.2024100082049.NRT.hdf,2024-04-09 06:30,61,116710,N,-47.013381843258,39.283572448117,17.964665634175,-75.279625449845,-72.9985385490482,-47.0091258979194,-53.3192003545357,-75.303804747135,39.3088558235315,35.5038317750115,17.90916834287,20.962122878182
